C02451V02968,REGION,C02447V03042,SchoolProgramme,TLIST(A1),Year,STATISTIC,Statistic Label,UNIT,VALUE,NumberOfClasses, NumberOfPupils
1,Carlow,121,Pupils with special needs in mainstream national schools,2002,2002,EDA57C02,Classes in National Schools (Number),Number,9,9,
1,Carlow,121,Pupils with special needs in mainstream national schools,2003,2003,EDA57C02,Classes in National Schools (Number),Number,8,8,
1,Carlow,121,Pupils with special needs in mainstream national schools,2004,2004,EDA57C02,Classes in National Schools (Number),Number,8,8,
1,Carlow,121,Pupils with special needs in mainstream national schools,2005,2005,EDA57C02,Classes in National Schools (Number),Number,8,8,
1,Carlow,121,Pupils with special needs in mainstream national schools,2006,2006,EDA57C02,Classes in National Schools (Number),Number,8,8,
1,Carlow,121,Pupils with special needs in mainstream national schools,2007,2007,EDA57C02,Classes in National Schools (Number),Number,8,8,
1,Carlow,121,Pupils with special needs in mainstream national schools,2008,2008,EDA57C02,Classes in National Schools (Number),Number,10,10,
1,Carlow,121,Pupils with special needs in mainstream national schools,2009,2009,EDA57C02,Classes in National Schools (Number),Number,10,10,
1,Carlow,121,Pupils with special needs in mainstream national schools,2010,2010,EDA57C02,Classes in National Schools (Number),Number,8,8,
1,Carlow,121,Pupils with special needs in mainstream national schools,2011,2011,EDA57C02,Classes in National Schools (Number),Number,8,8,
1,Carlow,121,Pupils with special needs in mainstream national schools,2012,2012,EDA57C02,Classes in National Schools (Number),Number,3,3,
1,Carlow,121,Pupils with special needs in mainstream national schools,2013,2013,EDA57C02,Classes in National Schools (Number),Number,7,7,
1,Carlow,121,Pupils with special needs in mainstream national schools,2014,2014,EDA57C02,Classes in National Schools (Number),Number,9,9,
1,Carlow,121,Pupils with special needs in mainstream national schools,2015,2015,EDA57C02,Classes in National Schools (Number),Number,13,13,
1,Carlow,121,Pupils with special needs in mainstream national schools,2016,2016,EDA57C02,Classes in National Schools (Number),Number,15,15,
1,Carlow,121,Pupils with special needs in mainstream national schools,2017,2017,EDA57C02,Classes in National Schools (Number),Number,15,15,
1,Carlow,121,Pupils with special needs in mainstream national schools,2018,2018,EDA57C02,Classes in National Schools (Number),Number,19,19,
1,Carlow,121,Pupils with special needs in mainstream national schools,2019,2019,EDA57C02,Classes in National Schools (Number),Number,20,20,
1,Carlow,121,Pupils with special needs in mainstream national schools,2020,2020,EDA57C02,Classes in National Schools (Number),Number,23,23,
1,Carlow,121,Pupils with special needs in mainstream national schools,2021,2021,EDA57C02,Classes in National Schools (Number),Number,25,25,
1,Carlow,121,Pupils with special needs in mainstream national schools,2022,2022,EDA57C02,Classes in National Schools (Number),Number,26,26,
1,Carlow,122,Pupils in special national schools,1995,1995,EDA57C02,Classes in National Schools (Number),Number,10,10,
1,Carlow,122,Pupils in special national schools,1996,1996,EDA57C02,Classes in National Schools (Number),Number,10,10,
1,Carlow,122,Pupils in special national schools,1997,1997,EDA57C02,Classes in National Schools (Number),Number,11,11,
1,Carlow,122,Pupils in special national schools,1998,1998,EDA57C02,Classes in National Schools (Number),Number,11,11,
1,Carlow,122,Pupils in special national schools,1999,1999,EDA57C02,Classes in National Schools (Number),Number,13,13,
1,Carlow,122,Pupils in special national schools,2000,2000,EDA57C02,Classes in National Schools (Number),Number,13,13,
1,Carlow,122,Pupils in special national schools,2001,2001,EDA57C02,Classes in National Schools (Number),Number,16,16,
1,Carlow,122,Pupils in special national schools,2002,2002,EDA57C02,Classes in National Schools (Number),Number,16,16,
1,Carlow,122,Pupils in special national schools,2003,2003,EDA57C02,Classes in National Schools (Number),Number,16,16,
1,Carlow,122,Pupils in special national schools,2004,2004,EDA57C02,Classes in National Schools (Number),Number,17,17,
1,Carlow,122,Pupils in special national schools,2005,2005,EDA57C02,Classes in National Schools (Number),Number,18,18,
1,Carlow,122,Pupils in special national schools,2006,2006,EDA57C02,Classes in National Schools (Number),Number,18,18,
1,Carlow,122,Pupils in special national schools,2007,2007,EDA57C02,Classes in National Schools (Number),Number,19,19,
1,Carlow,122,Pupils in special national schools,2008,2008,EDA57C02,Classes in National Schools (Number),Number,18,18,
1,Carlow,122,Pupils in special national schools,2009,2009,EDA57C02,Classes in National Schools (Number),Number,19,19,
1,Carlow,122,Pupils in special national schools,2010,2010,EDA57C02,Classes in National Schools (Number),Number,19,19,
1,Carlow,122,Pupils in special national schools,2011,2011,EDA57C02,Classes in National Schools (Number),Number,19,19,
1,Carlow,122,Pupils in special national schools,2012,2012,EDA57C02,Classes in National Schools (Number),Number,20,20,
1,Carlow,122,Pupils in special national schools,2013,2013,EDA57C02,Classes in National Schools (Number),Number,20,20,
1,Carlow,122,Pupils in special national schools,2014,2014,EDA57C02,Classes in National Schools (Number),Number,20,20,
1,Carlow,122,Pupils in special national schools,2015,2015,EDA57C02,Classes in National Schools (Number),Number,20,20,
1,Carlow,122,Pupils in special national schools,2016,2016,EDA57C02,Classes in National Schools (Number),Number,20,20,
1,Carlow,122,Pupils in special national schools,2017,2017,EDA57C02,Classes in National Schools (Number),Number,22,22,
1,Carlow,122,Pupils in special national schools,2018,2018,EDA57C02,Classes in National Schools (Number),Number,22,22,
1,Carlow,122,Pupils in special national schools,2019,2019,EDA57C02,Classes in National Schools (Number),Number,24,24,
1,Carlow,122,Pupils in special national schools,2020,2020,EDA57C02,Classes in National Schools (Number),Number,25,25,
1,Carlow,122,Pupils in special national schools,2021,2021,EDA57C02,Classes in National Schools (Number),Number,25,25,
